Customer ID,Recency,Frequency,Monetary,R,F,M,Segment
12407.0,27,5,1708.1200000000001,4,3,3,Champion
12408.0,10,8,4340.7699999999995,4,4,4,Champion
12409.0,56,7,23419.29,3,4,4,Champion
12410.0,286,3,1013.71,2,2,3,At Risk
12411.0,387,1,346.9,1,1,2,Lost
12412.0,52,6,2596.93,3,3,4,Champion
12413.0,44,4,999.45,3,3,3,Champion
12414.0,195,6,952.41,2,3,3,At Risk
12415.0,2,28,144458.37,4,4,4,Champion
12416.0,634,1,202.56,1,1,1,Lost
12417.0,16,19,6447.18,4,4,4,Champion
12418.0,90,4,2021.2,3,3,3,Champion
12419.0,363,2,503.01,2,2,2,At Risk
12420.0,41,1,600.39,3,1,2,New Client
12421.0,92,5,920.12,3,3,3,Champion
12422.0,73,17,5231.8,3,4,4,Champion
12423.0,78,9,2413.75,3,4,4,Champion
12424.0,140,4,3340.03,2,3,4,At Risk
12425.0,55,2,1741.41,3,2,3,Loyal
12426.0,172,2,1345.21,2,2,3,At Risk
12427.0,38,2,889.58,3,2,3,Loyal
12428.0,3,9,7956.46,4,4,4,Champion
12429.0,150,7,6580.39,2,4,4,At Risk
12430.0,21,1,256.4,4,1,1,New Client
12431.0,13,27,10857.97,4,4,4,Champion
12432.0,20,5,5059.32,4,3,4,Champion
12433.0,21,7,15099.28,4,4,4,Champion
12434.0,62,3,1103.43,3,2,3,Loyal
12435.0,57,6,13925.93,3,3,4,Champion
12436.0,77,1,509.01,3,1,2,New Client
12437.0,14,36,12026.49,4,4,4,Champion
12438.0,118,1,890.0699999999999,2,1,3,At Risk
12439.0,660,2,1158.18,1,2,3,Lost
12440.0,440,2,859.2,1,2,3,Lost
12441.0,344,1,347.1,2,1,2,At Risk
12443.0,709,1,485.31,1,1,2,Lost
12444.0,36,4,4068.82,3,3,4,Champion
12445.0,398,1,301.58000000000004,1,1,1,Lost
12446.0,35,1,1002.3100000000001,3,1,3,New Client
12447.0,221,1,476.49,2,1,2,At Risk
12448.0,22,1,449.45,4,1,2,New Client
12449.0,69,5,3493.18,3,3,4,Champion
12450.0,134,5,688.2,2,3,2,At Risk
12451.0,43,6,11481.74,3,3,4,Champion
12453.0,112,1,707.09,3,1,2,New Client
12454.0,33,5,16679.78,3,3,4,Champion
12455.0,50,10,5879.95,3,4,4,Champion
12456.0,22,3,3181.04,4,2,4,Loyal
12457.0,44,8,2995.91,3,4,4,Champion
12458.0,48,4,1777.49,3,3,3,Champion
12459.0,583,1,454.36,1,1,2,Lost
12460.0,434,1,326.65,1,1,1,Lost
12461.0,71,2,826.88,3,2,2,Loyal
12462.0,281,1,762.11,2,1,2,At Risk
12463.0,31,4,1344.78,3,3,3,Champion
12464.0,84,6,780.55,3,3,2,Loyal
12465.0,147,1,440.94,2,1,2,At Risk
12466.0,659,1,56.73,1,1,1,Lost
12467.0,400,1,132.8,1,1,1,Lost
12468.0,165,5,3670.74,2,3,4,At Risk
12469.0,500,2,3070.54,1,2,4,Lost
12470.0,667,1,211.95,1,1,1,Lost
12471.0,14,73,35031.0,4,4,4,Champion
12472.0,10,19,17880.59,4,4,4,Champion
12473.0,7,5,3938.5499999999997,4,3,4,Champion
12474.0,1,30,12008.28,4,4,4,Champion
12475.0,31,2,1149.64,3,2,3,Loyal
12476.0,3,22,12364.95,4,4,4,Champion
12477.0,34,8,18238.68,3,4,4,Champion
12480.0,6,7,5464.85,4,4,4,Champion
12481.0,43,14,12174.59,3,4,4,Champion
12482.0,553,29,23691.4,1,4,4,Lost
12483.0,18,18,4713.86,4,4,4,Champion
12484.0,10,12,6370.15,4,4,4,Champion
12485.0,506,1,708.1,1,1,2,Lost
12486.0,409,1,1037.28,1,1,3,Lost
12487.0,708,1,285.29999999999995,1,1,1,Lost
12488.0,17,2,767.45,4,2,2,Loyal
12489.0,314,1,334.93,2,1,1,At Risk
12490.0,3,19,9003.46,4,4,4,Champion
12491.0,16,1,460.40000000000003,4,1,2,New Client
12492.0,41,3,715.21,3,2,2,Loyal
12493.0,143,2,433.74,2,2,2,At Risk
12494.0,17,8,1710.3700000000001,4,4,3,Champion
12495.0,618,1,357.4,1,1,2,Lost
12496.0,598,2,54.09,1,2,1,Lost
12497.0,59,3,6248.5,3,2,4,Loyal
12498.0,35,1,247.25,3,1,1,New Client
12499.0,538,1,393.72,1,1,2,Lost
12500.0,27,18,5338.17,4,4,4,Champion
12501.0,314,1,2169.39,2,1,3,At Risk
12502.0,73,5,3723.87,3,3,4,Champion
12503.0,562,1,1126.0,1,1,3,Lost
12504.0,8,3,746.4,4,2,2,Loyal
12505.0,386,1,955.2,1,1,3,Lost
12506.0,210,1,73.5,2,1,1,At Risk
12507.0,111,4,1844.06,3,3,3,Champion
12508.0,3,2,398.27,4,2,2,Loyal
12509.0,262,1,176.5,2,1,1,At Risk
12510.0,120,9,5178.02,2,4,4,At Risk
12511.0,406,1,3084.02,1,1,4,Lost
12512.0,44,2,138.03,3,2,1,Loyal
12513.0,90,1,612.29,3,1,2,New Client
12514.0,244,2,1597.76,2,2,3,At Risk
12515.0,330,1,383.7,2,1,2,At Risk
12516.0,55,4,2648.62,3,3,4,Champion
12517.0,6,5,2502.84,4,3,4,Champion
12518.0,6,4,1717.75,4,3,3,Champion
12519.0,41,2,726.54,3,2,2,Loyal
12520.0,56,5,2634.26,3,3,4,Champion
12521.0,120,1,599.68,2,1,2,At Risk
12522.0,16,2,192.72,4,2,1,Loyal
12523.0,21,22,4109.7300000000005,4,4,4,Champion
12524.0,41,16,10818.31,3,4,4,Champion
12525.0,475,3,973.73,1,2,3,Lost
12526.0,31,2,1039.58,3,2,3,Loyal
12527.0,59,5,735.51,3,3,2,Loyal
12528.0,41,5,1561.88,3,3,3,Champion
12529.0,506,1,316.48,1,1,1,Lost
12530.0,37,9,3759.26,3,4,4,Champion
12531.0,664,1,1807.98,1,1,3,Lost
12532.0,8,1,349.83000000000004,4,1,2,New Client
12533.0,605,2,1367.89,1,2,3,Lost
12534.0,108,1,1089.18,3,1,3,New Client
12535.0,69,2,716.35,3,2,2,Loyal
12536.0,21,3,12601.830000000002,4,2,4,Loyal
12537.0,386,1,732.94,1,1,2,Lost
12538.0,6,2,640.45,4,2,2,Loyal
12539.0,239,6,10164.09,2,3,4,At Risk
12540.0,8,32,21366.22,4,4,4,Champion
12541.0,7,3,981.18,4,2,3,Loyal
12542.0,461,2,481.88,1,2,2,Lost
12543.0,425,1,980.25,1,1,3,Lost
12544.0,13,1,372.7,4,1,2,New Client
12545.0,53,2,1000.39,3,2,3,Loyal
12546.0,24,2,1161.5,4,2,3,Loyal
12547.0,175,3,383.58,2,2,2,At Risk
12548.0,143,1,95.19999999999999,2,1,1,At Risk
12549.0,553,6,1575.68,1,3,3,Lost
12550.0,57,1,964.83,3,1,3,New Client
12551.0,335,1,168.0,2,1,1,At Risk
12552.0,16,2,437.82,4,2,2,Loyal
12553.0,3,11,4331.73,4,4,4,Champion
12554.0,426,1,468.5,1,1,2,Lost
12555.0,659,1,129.23,1,1,1,Lost
12556.0,28,2,603.71,4,2,2,Loyal
12557.0,136,7,15726.14,2,4,4,At Risk
12559.0,288,2,561.71,2,2,2,At Risk
12560.0,89,2,1436.31,3,2,3,Loyal
12561.0,280,1,238.85,2,1,1,At Risk
12562.0,34,7,3692.65,3,4,4,Champion
12563.0,386,1,249.24,1,1,1,Lost
12564.0,239,1,456.9,2,1,2,At Risk
12565.0,266,1,145.92,2,1,1,At Risk
12566.0,64,1,351.65,3,1,2,New Client
12567.0,74,14,12158.56,3,4,4,Champion
12568.0,622,1,70.0,1,1,1,Lost
12569.0,1,25,3225.37,4,4,4,Champion
12570.0,659,1,77.52,1,1,1,Lost
12571.0,17,2,519.61,4,2,2,Loyal
12572.0,29,1,532.74,3,1,2,New Client
12573.0,204,5,717.41,2,3,2,At Risk
12574.0,293,1,218.45,2,1,1,At Risk
12575.0,435,2,622.8199999999999,1,2,2,Lost
12576.0,13,8,2142.72,4,4,3,Champion
12577.0,13,8,1653.75,4,4,3,Champion
12578.0,307,3,3456.6,2,2,4,At Risk
12579.0,55,1,440.42,3,1,2,New Client
12580.0,224,2,1052.9,2,2,3,At Risk
12581.0,17,1,197.71,4,1,1,New Client
12582.0,216,4,1980.4,2,3,3,At Risk
12583.0,9,25,13354.95,4,4,4,Champion
12584.0,18,7,1723.45,4,4,3,Champion
12585.0,212,2,2040.1,2,2,3,At Risk
12586.0,352,3,1865.73,2,2,3,At Risk
12588.0,17,4,958.78,4,3,3,Champion
12589.0,6,8,4695.66,4,4,4,Champion
12590.0,189,2,9864.26,2,2,4,At Risk
12591.0,295,3,1352.15,2,2,3,At Risk
12592.0,70,5,2582.66,3,3,4,Champion
12593.0,86,3,418.09999999999997,3,2,2,Loyal
12594.0,15,15,5090.110000000001,4,4,4,Champion
12595.0,482,1,299.02,1,1,1,Lost
12596.0,29,2,618.27,3,2,2,Loyal
12597.0,18,3,3605.26,4,2,4,Loyal
12598.0,6,9,3793.95,4,4,4,Champion
12599.0,7,13,2296.72,4,4,4,Champion
12600.0,6,21,5043.92,4,4,4,Champion
12601.0,167,6,681.26,2,3,2,At Risk
12602.0,36,1,153.12,3,1,1,New Client
12604.0,57,2,254.18,3,2,1,Loyal
12605.0,354,4,1232.95,2,3,3,At Risk
12606.0,659,1,21.0,1,1,1,Lost
12607.0,37,1,1579.51,3,1,3,New Client
12608.0,382,1,415.79,1,1,2,Lost
12609.0,55,9,3435.86,3,4,4,Champion
12610.0,21,4,1851.34,4,3,3,Champion
12611.0,30,1,1193.32,3,1,3,New Client
12612.0,51,1,704.0400000000001,3,1,2,New Client
12613.0,35,10,6835.07,3,4,4,Champion
12614.0,255,1,315.6,2,1,1,At Risk
12615.0,14,7,5318.13,4,4,4,Champion
12616.0,73,3,1131.1,3,2,3,Loyal
12617.0,7,1,355.53,4,1,2,New Client
12619.0,11,9,3382.68,4,4,4,Champion
12620.0,58,2,939.3199999999999,3,2,3,Loyal
12621.0,1,34,23587.61,4,4,4,Champion
12622.0,209,1,180.1,2,1,1,At Risk
12623.0,254,7,3747.84,2,4,4,At Risk
12624.0,84,2,641.13,3,2,2,Loyal
12625.0,189,4,5164.88,2,3,4,At Risk
12626.0,21,8,6368.51,4,4,4,Champion
12627.0,41,6,3911.55,3,3,4,Champion
12628.0,11,2,571.21,4,2,2,Loyal
12629.0,363,2,1558.22,2,2,3,At Risk
12630.0,21,1,701.79,4,1,2,New Client
12631.0,35,6,3481.57,3,3,4,Champion
12632.0,498,2,804.88,1,2,2,Lost
12633.0,36,7,5678.16,3,4,4,Champion
12634.0,513,2,490.0,1,2,2,Lost
12635.0,67,4,2930.41,3,3,4,Champion
12636.0,716,1,141.0,1,1,1,Lost
12637.0,45,12,8340.31,3,4,4,Champion
12638.0,11,2,921.49,4,2,3,Loyal
12639.0,216,3,1312.37,2,2,3,At Risk
12640.0,1,3,1174.58,4,2,3,Loyal
12641.0,93,1,185.9,3,1,1,New Client
12642.0,3,3,1013.26,4,2,3,Loyal
12643.0,106,12,8350.42,3,4,4,Champion
12644.0,107,4,1918.49,3,3,3,Champion
12645.0,11,8,3539.3,4,4,4,Champion
12646.0,27,1,731.6899999999999,4,1,2,New Client
12647.0,55,35,17603.2,3,4,4,Champion
12648.0,132,4,1112.0,2,3,3,At Risk
12649.0,85,8,2294.65,3,4,4,Champion
12651.0,312,4,377.75,2,3,2,At Risk
12652.0,309,2,1017.03,2,2,3,At Risk
12653.0,126,3,4160.83,2,2,4,At Risk
12654.0,15,4,508.98,4,3,2,Loyal
12655.0,401,1,261.35,1,1,1,Lost
12656.0,50,7,5822.08,3,4,4,Champion
12657.0,19,2,660.94,4,2,2,Loyal
12659.0,7,1,91.68,4,1,1,New Client
12661.0,413,1,162.0,1,1,1,Lost
12662.0,30,17,6313.52,3,4,4,Champion
12663.0,602,2,239.4,1,2,1,Lost
12664.0,13,9,4870.04,4,4,4,Champion
12665.0,302,3,313.6,2,2,1,At Risk
12666.0,371,1,1248.42,1,1,3,Lost
12667.0,35,1,620.13,3,1,2,New Client
12668.0,237,9,10562.0,2,4,4,At Risk
12669.0,128,3,2744.0299999999997,2,2,4,At Risk
12670.0,7,6,3064.17,4,3,4,Champion
12671.0,583,1,2622.481,1,1,4,Lost
12672.0,307,2,437.05,2,2,2,At Risk
12673.0,304,2,840.4,2,2,2,At Risk
12674.0,16,4,1970.6,4,3,3,Champion
12675.0,531,2,958.5,1,2,3,Lost
12676.0,2,11,2843.09,4,4,4,Champion
12677.0,533,2,395.1,1,2,2,Lost
12678.0,20,21,34281.18,4,4,4,Champion
12679.0,36,4,1113.02,3,3,3,Champion
12680.0,51,3,613.36,3,2,2,Loyal
12681.0,8,42,29068.96,4,4,4,Champion
12682.0,7,48,22361.92,4,4,4,Champion
12683.0,28,19,11899.3,4,4,4,Champion
12684.0,2,6,2104.23,4,3,3,Champion
12685.0,6,6,2863.08,4,3,4,Champion
12686.0,349,1,178.28,2,1,1,At Risk
12687.0,458,2,2138.91,1,2,3,Lost
12688.0,91,1,4873.8099999999995,3,1,4,New Client
12689.0,3,2,1247.61,4,2,3,Loyal
12690.0,183,1,389.01,2,1,2,At Risk
12691.0,5,7,1170.4,4,4,3,Champion
12692.0,615,1,110.95,1,1,1,Lost
12693.0,104,7,1703.02,3,4,3,Champion
12694.0,48,3,1843.35,3,2,3,Loyal
12695.0,44,6,1322.02,3,3,3,Champion
12696.0,412,2,851.91,1,2,3,Lost
12697.0,6,3,957.59,4,2,3,Loyal
12698.0,567,1,339.75,1,1,2,Lost
12699.0,395,1,638.11,1,1,2,Lost
12700.0,43,3,3625.24,3,2,4,Loyal
12701.0,57,6,2446.41,3,3,4,Champion
12703.0,48,4,1006.53,3,3,3,Champion
12704.0,13,5,1907.75,4,3,3,Champion
12705.0,20,11,10867.4,4,4,4,Champion
12707.0,269,1,603.42,2,1,2,At Risk
12708.0,7,18,5314.1,4,4,4,Champion
12709.0,20,33,30214.239999999998,4,4,4,Champion
12710.0,74,3,1149.02,3,2,3,Loyal
12711.0,589,2,1339.05,1,2,3,Lost
12712.0,6,21,7193.66,4,4,4,Champion
12714.0,84,11,12774.55,3,4,4,Champion
12715.0,83,1,353.86,3,1,2,New Client
12716.0,111,1,677.9,3,1,2,New Client
12717.0,129,3,1308.91,2,2,3,At Risk
12718.0,48,1,238.25,3,1,1,New Client
12719.0,43,1,283.6,3,1,1,New Client
12720.0,1,27,7442.12,4,4,4,Champion
12721.0,9,8,4013.08,4,4,4,Champion
12722.0,63,4,997.63,3,3,3,Champion
12723.0,42,2,299.40999999999997,3,2,1,Loyal
12724.0,59,6,2109.2799999999997,3,3,3,Champion
12725.0,348,4,2694.56,2,3,4,At Risk
12726.0,6,11,4014.6,4,4,4,Champion
12727.0,73,9,5036.53,3,4,4,Champion
12728.0,48,5,1070.17,3,3,3,Champion
12729.0,91,1,453.01,3,1,2,New Client
12730.0,499,1,829.25,1,1,2,Lost
12731.0,1,17,25775.71,4,4,4,Champion
12732.0,157,1,236.26000000000002,2,1,1,At Risk
12733.0,211,4,2424.87,2,3,4,At Risk
12734.0,330,3,639.65,2,2,2,At Risk
12735.0,293,2,779.5699999999999,2,2,2,At Risk
12736.0,310,1,234.0,2,1,1,At Risk
12737.0,476,2,3710.5,1,2,4,Lost
12738.0,349,1,310.7,2,1,1,At Risk
12739.0,56,4,2726.73,3,3,4,Champion
12740.0,41,1,427.6,3,1,2,New Client
12741.0,507,2,406.07,1,2,2,Lost
12742.0,603,1,1201.52,1,1,3,Lost
12743.0,111,2,546.43,3,2,2,Loyal
12744.0,29,11,25317.06,3,4,4,Champion
12745.0,464,3,925.41,1,2,3,Lost
12746.0,518,1,254.55,1,1,1,Lost
12747.0,44,24,8525.31,3,4,4,Champion
12748.0,1,296,49646.75,4,4,4,Champion
12749.0,108,7,5561.71,3,4,4,Champion
12750.0,106,1,275.88,3,1,1,New Client
12751.0,422,1,268.27,1,1,1,Lost
12752.0,59,1,4366.78,3,1,4,New Client
12753.0,113,5,16620.91,3,3,4,Champion
12754.0,213,3,3010.74,2,2,4,At Risk
12755.0,258,11,9030.66,2,4,4,At Risk
12756.0,64,1,112.07999999999998,3,1,1,New Client
12757.0,3,12,7516.400000000001,4,4,4,Champion
12758.0,94,7,9903.24,3,4,4,Champion
12759.0,30,8,5020.74,3,4,4,Champion
12760.0,433,1,347.8,1,1,2,Lost
12761.0,435,2,782.95,1,2,2,Lost
12762.0,3,1,461.59,4,1,2,New Client
12763.0,116,2,814.16,3,2,2,Loyal
12764.0,294,1,1693.88,2,1,3,At Risk
12765.0,450,6,1404.58,1,3,3,Lost
12766.0,35,8,9349.85,3,4,4,Champion
12767.0,353,1,949.82,2,1,3,At Risk
12768.0,428,1,168.69000000000003,1,1,1,Lost
12769.0,216,1,1143.6,2,1,3,At Risk
12770.0,188,2,3246.45,2,2,4,At Risk
12771.0,463,1,282.3,1,1,1,Lost
12772.0,37,1,892.47,3,1,3,New Client
12773.0,541,1,124.25,1,1,1,Lost
12774.0,513,1,98.7,1,1,1,Lost
12775.0,167,6,1464.76,2,3,3,At Risk
12776.0,645,1,55.5,1,1,1,Lost
12777.0,435,1,519.45,1,1,2,Lost
12778.0,40,8,1617.44,3,4,3,Champion
12779.0,15,14,6722.2699999999995,4,4,4,Champion
12780.0,576,1,337.4,1,1,1,Lost
12781.0,41,2,826.74,3,2,2,Loyal
12782.0,127,10,4365.99,2,4,4,At Risk
12783.0,10,5,1825.33,4,3,3,Champion
12784.0,507,1,1230.33,1,1,3,Lost
12785.0,342,3,1100.4,2,2,3,At Risk
12786.0,587,1,728.5,1,1,2,Lost
12787.0,69,3,743.18,3,2,2,Loyal
12788.0,441,4,444.9,1,3,2,Lost
12789.0,43,3,273.35,3,2,1,Loyal
12790.0,170,2,591.85,2,2,2,At Risk
12791.0,351,6,1056.1100000000001,2,3,3,At Risk
12792.0,234,2,827.01,2,2,2,At Risk
12793.0,312,3,1017.33,2,2,3,At Risk
12794.0,31,2,860.41,3,2,3,Loyal
12796.0,605,1,381.0,1,1,2,Lost
12797.0,343,2,806.11,2,2,2,At Risk
12798.0,22,3,4859.33,4,2,4,Loyal
12799.0,506,1,219.35,1,1,1,Lost
12800.0,448,3,584.25,1,2,2,Lost
12801.0,478,1,1071.82,1,1,3,Lost
12802.0,164,7,2416.42,2,4,4,At Risk
12803.0,371,1,1092.81,1,1,3,Lost
12804.0,443,2,327.02,1,2,1,Lost
12805.0,359,4,1434.95,2,3,3,At Risk
12806.0,413,4,2878.96,1,3,4,Lost
12807.0,361,1,330.35,2,1,1,At Risk
12808.0,14,5,906.1,4,3,3,Champion
12809.0,155,3,1755.94,2,2,3,At Risk
12810.0,512,2,534.99,1,2,2,Lost
12811.0,238,5,1033.9,2,3,3,At Risk
12812.0,22,1,229.64000000000001,4,1,1,New Client
12813.0,479,3,1687.8,1,2,3,Lost
12814.0,79,1,125.92,3,1,1,New Client
12815.0,125,2,1063.46,2,2,3,At Risk
12816.0,73,2,572.2,3,2,2,Loyal
12817.0,258,3,690.98,2,2,2,At Risk
12818.0,239,1,1542.08,2,1,3,At Risk
12819.0,436,1,540.52,1,1,2,Lost
12820.0,22,10,2479.17,4,4,4,Champion
12821.0,191,2,220.8,2,2,1,At Risk
12822.0,48,2,948.88,3,2,3,Loyal
12823.0,52,18,6501.5,3,4,4,Champion
12824.0,37,1,397.12,3,1,2,New Client
12825.0,499,2,518.63,1,2,2,Lost
12826.0,6,11,2813.15,4,4,4,Champion
12827.0,10,2,318.7,4,2,1,Loyal
12828.0,43,4,661.3100000000001,3,3,2,Loyal
12829.0,314,3,385.3,2,2,2,At Risk
12830.0,15,6,6814.64,4,3,4,Champion
12831.0,240,3,451.11,2,2,2,At Risk
12832.0,10,2,383.03,4,2,2,Loyal
12833.0,123,1,417.38,2,1,2,At Risk
12834.0,260,1,312.38,2,1,1,At Risk
12835.0,405,41,6043.31,1,4,4,Lost
12836.0,37,15,6585.62,3,4,4,Champion
12837.0,150,2,688.41,2,2,2,At Risk
12838.0,11,10,3398.48,4,4,4,Champion
12839.0,2,24,8752.58,4,4,4,Champion
12840.0,121,7,4041.97,2,4,4,At Risk
12841.0,21,36,7100.2300000000005,4,4,4,Champion
12842.0,47,4,1917.99,3,3,3,Champion
12843.0,43,30,6588.41,3,4,4,Champion
12844.0,7,4,648.6,4,3,2,Loyal
12845.0,245,4,354.09,2,3,2,At Risk
12846.0,659,1,15.58,1,1,1,Lost
12847.0,365,1,765.36,1,1,2,Lost
12848.0,653,1,208.0,1,1,1,Lost
12849.0,9,6,3090.56,4,3,4,Champion
12850.0,423,1,330.0,1,1,1,Lost
12851.0,74,2,284.13,3,2,1,Loyal
12852.0,272,1,311.55,2,1,1,At Risk
12853.0,112,11,3907.5,3,4,4,Champion
12854.0,56,7,2994.02,3,4,4,Champion
12855.0,350,4,650.9399999999999,2,3,2,At Risk
12856.0,6,4,1617.44,4,3,3,Champion
12857.0,188,6,3688.0,2,3,4,At Risk
12858.0,361,1,177.92,2,1,1,At Risk
12859.0,436,1,575.1,1,1,2,Lost
12860.0,670,1,55.47,1,1,1,Lost
12861.0,597,1,68.25,1,1,1,Lost
12862.0,403,2,1008.3199999999999,1,2,3,Lost
12863.0,30,6,2792.5499999999997,3,3,4,Champion
12864.0,116,2,299.57,3,2,1,Loyal
12865.0,4,4,3323.47,4,3,4,Champion
12866.0,261,3,1227.35,2,2,3,At Risk
12867.0,3,13,7913.29,4,4,4,Champion
12868.0,163,8,2247.06,2,4,4,At Risk
12869.0,659,1,337.66999999999996,1,1,1,Lost
12870.0,353,3,1676.95,2,2,3,At Risk
12871.0,62,3,744.02,3,2,2,Loyal
12872.0,304,12,3685.4900000000002,2,4,4,At Risk
12873.0,260,3,2027.3,2,2,3,At Risk
12874.0,362,2,948.42,2,2,3,At Risk
12875.0,120,5,1356.99,2,3,3,At Risk
12876.0,35,4,4081.79,3,3,4,Champion
12877.0,2,19,2855.51,4,4,4,Champion
12878.0,214,2,854.99,2,2,3,At Risk
12879.0,22,3,573.22,4,2,2,Loyal
12880.0,359,2,640.13,2,2,2,At Risk
12881.0,253,1,298.0,2,1,1,At Risk
12882.0,11,1,471.84000000000003,4,1,2,New Client
12883.0,2,4,703.47,4,3,2,Loyal
12884.0,66,1,309.05,3,1,1,New Client
12885.0,41,3,1175.22,3,2,3,Loyal
12886.0,45,2,1378.4,3,2,3,Loyal
12887.0,361,1,222.4,2,1,1,At Risk
12888.0,191,2,354.12,2,2,2,At Risk
12889.0,358,4,385.46000000000004,2,3,2,At Risk
12890.0,1,2,717.27,4,2,2,Loyal
12891.0,163,11,840.5,2,4,2,At Risk
12892.0,374,1,263.38,1,1,1,Lost
12893.0,8,1,188.14,4,1,1,New Client
12894.0,553,1,157.35,1,1,1,Lost
12895.0,20,2,372.8,4,2,2,Loyal
12897.0,182,4,514.25,2,3,2,At Risk
12898.0,441,2,310.96000000000004,1,2,1,Lost
12899.0,391,1,366.4,1,1,2,Lost
12900.0,400,1,340.33,1,1,2,Lost
12901.0,1,25,15836.23,4,4,4,Champion
12902.0,242,1,138.68,2,1,1,At Risk
12903.0,406,1,833.53,1,1,2,Lost
12904.0,150,1,244.69,2,1,1,At Risk
12905.0,554,2,1018.42,1,2,3,Lost
12906.0,56,2,1936.5900000000001,3,2,3,Loyal
12907.0,373,2,508.91,1,2,2,Lost
12908.0,153,5,1776.0,2,3,3,At Risk
12909.0,17,8,3103.19,4,4,4,Champion
12910.0,1,13,5796.52,4,4,4,Champion
12911.0,529,1,1680.47,1,1,3,Lost
12912.0,1,2,457.98,4,2,2,Loyal
12913.0,260,11,5083.62,2,4,4,At Risk
12914.0,378,1,223.98,1,1,1,Lost
12915.0,126,4,1174.75,2,3,3,At Risk
12916.0,116,7,4654.0199999999995,3,4,4,Champion
12917.0,105,6,4359.2,3,3,4,Champion
12918.0,603,1,10953.5,1,1,4,Lost
12919.0,9,4,777.77,4,3,2,Loyal
12920.0,549,3,323.86,1,2,1,Lost
12921.0,8,70,32866.95,4,4,4,Champion
12922.0,138,1,405.38,2,1,2,At Risk
12923.0,41,3,789.87,3,2,2,Loyal
12924.0,66,12,2469.4,3,4,4,Champion
12925.0,52,2,403.59,3,2,2,Loyal
12926.0,388,4,1548.46,1,3,3,Lost
12927.0,372,1,197.31,1,1,1,Lost
12928.0,13,12,4304.89,4,4,4,Champion
12929.0,289,1,117.85,2,1,1,At Risk
12930.0,56,2,415.8,3,2,2,Loyal
12931.0,8,55,89692.64,4,4,4,Champion
12932.0,517,8,1698.56,1,4,3,Lost
12933.0,1,8,1687.03,4,4,3,Champion
12934.0,714,1,181.65,1,1,1,Lost
12935.0,4,13,3900.08,4,4,4,Champion
12936.0,56,1,798.46,3,1,2,New Client
12937.0,49,8,2419.78,3,4,4,Champion
